date,state,district,pincode,age_0_5,age_5_17,age_18_greater
2025-08-09,Maharashtra,Pune,411047,3,3,0
2025-08-09,Maharashtra,Pune,411058,1,2,0
2025-08-09,Maharashtra,Pune,411060,3,0,0
2025-08-09,Maharashtra,Pune,412115,3,0,0
2025-08-09,Maharashtra,Pune,412206,1,1,0
2025-08-09,Maharashtra,Pune,412207,1,1,0
2025-08-09,Maharashtra,Pune,412208,5,0,0
2025-08-09,Maharashtra,Pune,412301,2,0,0
2025-08-09,Maharashtra,Pune,412403,1,0,0
2025-08-09,Maharashtra,Pune,412409,1,0,0
2025-08-09,Maharashtra,Pune,413104,4,1,0
2025-09-09,Maharashtra,Pune,410401,2,0,0
2025-09-09,Maharashtra,Pune,411021,4,2,0
2025-09-09,Maharashtra,Pune,411035,1,1,0
2025-09-09,Maharashtra,Pune,411038,5,1,0
2025-09-09,Maharashtra,Pune,411042,7,1,0
2025-09-09,Maharashtra,Pune,411051,0,2,0
2025-09-09,Maharashtra,Pune,411062,4,2,0
2025-09-09,Maharashtra,Pune,411071,1,0,0
2025-09-09,Maharashtra,Pune,412103,1,0,0
2025-09-09,Maharashtra,Pune,412110,1,0,0
2025-09-09,Maharashtra,Pune,412114,1,1,0
2025-09-09,Maharashtra,Pune,412115,0,1,0
2025-09-09,Maharashtra,Pune,412208,1,1,0
2025-09-09,Maharashtra,Pune,412209,2,0,0
2025-09-09,Maharashtra,Pune,412307,1,0,0
2025-09-09,Maharashtra,Pune,412404,0,1,0
2025-09-09,Maharashtra,Pune,413102,5,3,0
2025-09-09,Maharashtra,Pune,413103,1,1,0
2025-09-09,Maharashtra,Pune,413105,1,1,0
2025-09-09,Maharashtra,Pune,413130,3,1,0
2025-09-09,Maharashtra,Pune,413801,2,1,0
2025-10-09,Maharashtra,Pune,412214,2,0,0
2025-10-09,Maharashtra,Pune,412218,1,0,0
2025-10-09,Maharashtra,Pune,412303,3,2,0
2025-10-09,Maharashtra,Pune,412306,2,0,0
2025-10-09,Maharashtra,Pune,412307,5,0,0
2025-10-09,Maharashtra,Pune,412308,3,0,0
2025-10-09,Maharashtra,Pune,413102,5,4,0
2025-10-09,Maharashtra,Pune,410505,4,0,0
2025-10-09,Maharashtra,Pune,410512,0,1,0
2025-10-09,Maharashtra,Pune,411009,3,0,1
2025-10-09,Maharashtra,Pune,411015,5,2,0
2025-10-09,Maharashtra,Pune,411018,3,0,0
2025-10-09,Maharashtra,Pune,411022,1,0,0
2025-10-09,Maharashtra,Pune,411023,6,3,0
2025-10-09,Maharashtra,Pune,411027,4,3,0
2025-10-09,Maharashtra,Pune,411039,12,5,0
2025-10-09,Maharashtra,Pune,411047,4,1,0
2025-10-09,Maharashtra,Pune,411048,10,7,0
2025-10-09,Maharashtra,Pune,411058,6,3,0
2025-10-09,Maharashtra,Pune,412114,1,1,0
2025-10-09,Maharashtra,Pune,412207,5,1,0
2025-11-09,Maharashtra,Pune,410405,1,0,0
2025-11-09,Maharashtra,Pune,410501,3,1,0
2025-11-09,Maharashtra,Pune,410502,2,0,0
2025-11-09,Maharashtra,Pune,410503,1,1,0
2025-11-09,Maharashtra,Pune,410505,4,0,0
2025-11-09,Maharashtra,Pune,410507,2,0,0
2025-11-09,Maharashtra,Pune,411002,2,0,0
2025-11-09,Maharashtra,Pune,411014,11,2,2
2025-11-09,Maharashtra,Pune,411015,4,2,0
2025-11-09,Maharashtra,Pune,411027,5,3,0
2025-11-09,Maharashtra,Pune,411030,0,1,0
2025-11-09,Maharashtra,Pune,411039,6,5,0
2025-11-09,Maharashtra,Pune,411042,3,0,0
2025-11-09,Maharashtra,Pune,411061,5,0,0
2025-11-09,Maharashtra,Pune,412114,2,2,0
2025-11-09,Maharashtra,Pune,412115,4,2,0
2025-11-09,Maharashtra,Pune,412206,0,6,0
2025-11-09,Maharashtra,Pune,412210,0,2,0
2025-11-09,Maharashtra,Pune,412218,0,1,0
2025-11-09,Maharashtra,Pune,412303,3,0,0
2025-11-09,Maharashtra,Pune,412305,0,1,0
2025-11-09,Maharashtra,Pune,413103,3,1,0
2025-11-09,Maharashtra,Pune,413120,2,0,0
,Maharashtra,Pune,410510,1,0,0
,Maharashtra,Pune,411013,1,0,0
,Maharashtra,Pune,411028,4,0,0
,Maharashtra,Pune,411040,1,1,0
,Maharashtra,Pune,411060,1,1,0
,Maharashtra,Pune,413105,1,0,0
2025-12-09,Maharashtra,Pune,411001,7,0,1
2025-12-09,Maharashtra,Pune,411019,6,1,0
2025-12-09,Maharashtra,Pune,411026,2,1,0
2025-12-09,Maharashtra,Pune,411030,2,1,0
2025-12-09,Maharashtra,Pune,411034,1,0,0
2025-12-09,Maharashtra,Pune,411036,0,2,0
2025-12-09,Maharashtra,Pune,411052,2,0,0
2025-12-09,Maharashtra,Pune,411060,4,1,0
2025-12-09,Maharashtra,Pune,412102,3,0,0
2025-12-09,Maharashtra,Pune,412108,0,1,0
2025-12-09,Maharashtra,Pune,412206,2,2,0
2025-12-09,Maharashtra,Pune,412219,1,0,0
2025-12-09,Maharashtra,Pune,412308,4,0,0
2025-12-09,Maharashtra,Pune,412402,1,1,0
2025-12-09,Maharashtra,Pune,412408,0,2,0
2025-12-09,Maharashtra,Pune,412411,3,0,0
2025-12-09,Maharashtra,Pune,413801,4,4,0
,Maharashtra,Pune,410505,1,0,0
,Maharashtra,Pune,410507,2,0,0
,Maharashtra,Pune,411001,6,0,0
,Maharashtra,Pune,411003,2,1,0
,Maharashtra,Pune,411004,2,0,0
,Maharashtra,Pune,411006,3,0,0
,Maharashtra,Pune,411007,3,0,0
,Maharashtra,Pune,411014,4,1,0
,Maharashtra,Pune,411016,1,0,0
,Maharashtra,Pune,411019,2,1,0
,Maharashtra,Pune,411020,1,1,0
,Maharashtra,Pune,411024,1,1,0
,Maharashtra,Pune,411026,1,0,0
,Maharashtra,Pune,411033,13,2,0
,Maharashtra,Pune,411041,2,0,0
,Maharashtra,Pune,411045,4,2,0
,Maharashtra,Pune,411051,2,0,0
,Maharashtra,Pune,411057,10,2,0
,Maharashtra,Pune,412105,16,8,0
,Maharashtra,Pune,412201,1,0,0
,Maharashtra,Pune,412205,2,1,0
,Maharashtra,Pune,412214,4,2,0
,Maharashtra,Pune,412216,2,0,0
,Maharashtra,Pune,412305,1,0,0
,Maharashtra,Pune,413104,1,0,0
,Maharashtra,Pune,413106,1,2,0
,Maharashtra,Pune,410401,1,1,0
,Maharashtra,Pune,411007,1,0,0
,Maharashtra,Pune,411011,3,0,0
,Maharashtra,Pune,411016,1,1,0
,Maharashtra,Pune,411017,2,2,0
,Maharashtra,Pune,411021,4,1,2
,Maharashtra,Pune,411026,1,0,0
,Maharashtra,Pune,411033,3,3,0
,Maharashtra,Pune,411038,3,0,0
,Maharashtra,Pune,411042,2,1,0
,Maharashtra,Pune,411052,1,0,0
,Maharashtra,Pune,411060,3,0,0
,Maharashtra,Pune,411061,2,1,0
,Maharashtra,Pune,412101,4,2,0
,Maharashtra,Pune,412106,0,1,0
,Maharashtra,Pune,412109,13,1,0
,Maharashtra,Pune,412115,0,2,0
,Maharashtra,Pune,412203,1,0,0
,Maharashtra,Pune,412206,1,0,0
,Maharashtra,Pune,412306,1,0,0
,Maharashtra,Pune,412308,2,1,0
,Maharashtra,Pune,412402,1,0,0
,Maharashtra,Pune,413104,1,0,0
,Maharashtra,Pune,410401,3,1,0
,Maharashtra,Pune,410405,1,0,0
,Maharashtra,Pune,411004,1,4,1
,Maharashtra,Pune,411007,1,0,0
,Maharashtra,Pune,411018,1,0,0
,Maharashtra,Pune,411021,1,2,0
,Maharashtra,Pune,411023,1,2,0
,Maharashtra,Pune,411037,2,1,0
,Maharashtra,Pune,411048,4,2,0
,Maharashtra,Pune,411052,3,0,0
,Maharashtra,Pune,411057,5,1,0
,Maharashtra,Pune,411060,1,2,0
,Maharashtra,Pune,412104,2,0,0
,Maharashtra,Pune,412115,3,0,0
,Maharashtra,Pune,412201,1,0,0
,Maharashtra,Pune,412208,2,1,0
,Maharashtra,Pune,412211,2,1,0
,Maharashtra,Pune,412219,5,1,0
,Maharashtra,Pune,412303,3,1,0
,Maharashtra,Pune,412306,1,0,0
,Maharashtra,Pune,412307,0,1,0
,Maharashtra,Pune,412311,0,1,0
,Maharashtra,Pune,412401,2,0,0
,Maharashtra,Pune,412409,0,1,0
,Maharashtra,Pune,413102,7,3,0
,Maharashtra,Pune,413106,2,1,0
,Maharashtra,Pune,413115,1,0,0
,Maharashtra,Pune,413802,1,0,0
,Maharashtra,Pune,410502,5,1,0
,Maharashtra,Pune,410507,2,2,0
,Maharashtra,Pune,411011,1,0,0
,Maharashtra,Pune,411023,1,0,0
,Maharashtra,Pune,411037,3,2,0
,Maharashtra,Pune,411038,16,2,0
,Maharashtra,Pune,411040,2,0,0
,Maharashtra,Pune,411046,6,2,0
,Maharashtra,Pune,411048,7,1,0
,Maharashtra,Pune,411060,1,1,0
,Maharashtra,Pune,412114,2,1,0
,Maharashtra,Pune,412203,1,0,0
,Maharashtra,Pune,412207,2,3,2
,Maharashtra,Pune,412305,1,0,0
,Maharashtra,Pune,412402,3,0,0
,Maharashtra,Pune,413114,1,7,0
,Maharashtra,Pune,410501,2,1,0
,Maharashtra,Pune,410506,1,1,0
,Maharashtra,Pune,410507,3,1,0
,Maharashtra,Pune,411012,0,1,0
,Maharashtra,Pune,411022,1,0,0
,Maharashtra,Pune,411038,3,1,0
,Maharashtra,Pune,411041,2,3,0
,Maharashtra,Pune,411042,4,0,0
,Maharashtra,Pune,411046,2,2,0
,Maharashtra,Pune,411047,3,0,0
,Maharashtra,Pune,411060,5,2,0
,Maharashtra,Pune,412103,1,0,0
,Maharashtra,Pune,412201,1,0,0
,Maharashtra,Pune,412204,2,0,0
,Maharashtra,Pune,412205,3,0,0
,Maharashtra,Pune,412208,1,0,0
,Maharashtra,Pune,412210,1,0,0
,Maharashtra,Pune,412213,4,1,0
,Maharashtra,Pune,412303,3,0,0
,Maharashtra,Pune,412404,0,2,0
,Maharashtra,Pune,412410,1,0,0
,Maharashtra,Pune,413102,6,2,0
,Maharashtra,Pune,413116,1,0,0
,Maharashtra,Pune,410501,6,1,0
,Maharashtra,Pune,411015,5,0,0
,Maharashtra,Pune,411026,0,1,0
,Maharashtra,Pune,411027,5,1,0
,Maharashtra,Pune,411030,3,0,0
,Maharashtra,Pune,411058,1,0,0
,Maharashtra,Pune,412105,11,2,0
,Maharashtra,Pune,412114,3,1,0
,Maharashtra,Pune,412207,4,0,0
,Maharashtra,Pune,412218,2,3,0
,Maharashtra,Pune,412301,1,1,0
,Maharashtra,Pune,412406,1,0,0
,Maharashtra,Pune,412409,6,0,0
,Maharashtra,Pune,412411,3,0,0
,Maharashtra,Pune,413103,0,2,0
,Maharashtra,Pune,413132,1,0,0
,Maharashtra,Pune,413801,2,2,0
,Maharashtra,Pune,411001,3,0,0
,Maharashtra,Pune,411002,0,0,1
,Maharashtra,Pune,411013,2,0,0
,Maharashtra,Pune,411014,6,1,2
,Maharashtra,Pune,411020,1,0,0
,Maharashtra,Pune,411041,11,3,0
,Maharashtra,Pune,411044,4,1,0
,Maharashtra,Pune,412107,1,0,0
,Maharashtra,Pune,412209,2,0,0
,Maharashtra,Pune,412214,2,0,0
,Maharashtra,Pune,412219,1,1,0
,Maharashtra,Pune,412301,3,2,0
,Maharashtra,Pune,410513,0,1,0
,Maharashtra,Pune,411002,1,0,0
,Maharashtra,Pune,411007,0,0,1
,Maharashtra,Pune,411021,0,1,0
,Maharashtra,Pune,411024,1,0,0
,Maharashtra,Pune,411026,2,0,0
,Maharashtra,Pune,411028,3,2,0
,Maharashtra,Pune,411040,1,1,0
,Maharashtra,Pune,411045,2,1,0
,Maharashtra,Pune,411046,5,1,0
,Maharashtra,Pune,411047,3,0,0
,Maharashtra,Pune,411062,1,1,0
,Maharashtra,Pune,412107,0,1,0
,Maharashtra,Pune,412207,3,0,0
,Maharashtra,Pune,412301,1,0,0
,Maharashtra,Pune,412410,1,0,0
,Maharashtra,Pune,413106,0,1,0
,Maharashtra,Pune,413114,4,0,0
,Maharashtra,Pune,410405,1,0,0
,Maharashtra,Pune,411001,4,1,0
,Maharashtra,Pune,411003,4,0,0
,Maharashtra,Pune,411005,2,1,0
,Maharashtra,Pune,411009,2,0,0
,Maharashtra,Pune,411012,1,0,0
,Maharashtra,Pune,411019,0,1,0
,Maharashtra,Pune,411023,1,1,0
,Maharashtra,Pune,411027,0,4,0
,Maharashtra,Pune,411039,3,1,0
,Maharashtra,Pune,411045,1,0,0
,Maharashtra,Pune,411046,2,2,0
,Maharashtra,Pune,411047,2,0,0
,Maharashtra,Pune,411052,0,1,0
,Maharashtra,Pune,411062,6,0,0
,Maharashtra,Pune,412102,1,0,0
,Maharashtra,Pune,412206,1,0,0
,Maharashtra,Pune,412219,1,0,0
,Maharashtra,Pune,412306,1,0,0
,Maharashtra,Pune,412307,2,0,0
,Maharashtra,Pune,412308,7,0,0
,Maharashtra,Pune,413115,1,0,0
,Maharashtra,Pune,410506,1,0,0
,Maharashtra,Pune,411001,3,0,0
,Maharashtra,Pune,411017,6,4,0
,Maharashtra,Pune,411019,4,6,0
,Maharashtra,Pune,411030,5,0,0
,Maharashtra,Pune,411033,7,4,0
,Maharashtra,Pune,411034,3,0,0
,Maharashtra,Pune,411038,1,1,0
,Maharashtra,Pune,411039,5,0,0
,Maharashtra,Pune,411040,2,0,0
,Maharashtra,Pune,411041,5,1,0
,Maharashtra,Pune,411048,3,5,0
,Maharashtra,Pune,412105,7,1,0
,Maharashtra,Pune,412216,2,0,0
,Maharashtra,Pune,412306,4,0,0
,Maharashtra,Pune,413106,3,0,0
,Maharashtra,Pune,413132,2,0,0
,Maharashtra,Pune,413133,1,0,0
,Maharashtra,Pune,410507,1,0,0
,Maharashtra,Pune,410515,2,0,0
,Maharashtra,Pune,411005,2,0,0
,Maharashtra,Pune,411014,1,2,0
,Maharashtra,Pune,411018,1,0,0
,Maharashtra,Pune,411020,1,0,0
,Maharashtra,Pune,411032,1,0,0
,Maharashtra,Pune,411038,2,0,1
,Maharashtra,Pune,411040,1,0,0
,Maharashtra,Pune,411057,3,5,0
,Maharashtra,Pune,411060,4,1,0
,Maharashtra,Pune,412103,1,0,0
,Maharashtra,Pune,412104,2,0,0
,Maharashtra,Pune,412207,5,3,0
,Maharashtra,Pune,412208,2,0,0
,Maharashtra,Pune,412209,1,0,0
,Maharashtra,Pune,412213,1,0,0
,Maharashtra,Pune,412214,0,1,0
,Maharashtra,Pune,412216,2,1,0
,Maharashtra,Pune,413133,1,0,0
,Maharashtra,Pune,413802,1,0,0
,Maharashtra,Pune,410403,0,1,0
,Maharashtra,Pune,410504,1,0,0
,Maharashtra,Pune,410507,1,0,0
,Maharashtra,Pune,411002,1,0,0
,Maharashtra,Pune,411033,0,1,0
,Maharashtra,Pune,411038,1,0,0
,Maharashtra,Pune,411041,6,0,0
,Maharashtra,Pune,411042,1,1,0
,Maharashtra,Pune,411046,2,0,0
,Maharashtra,Pune,412101,1,1,0
,Maharashtra,Pune,412110,1,0,0
,Maharashtra,Pune,412115,1,1,0
,Maharashtra,Pune,412207,2,1,0
,Maharashtra,Pune,412308,3,0,0
,Maharashtra,Pune,413102,1,0,0
,Maharashtra,Pune,410512,1,0,0
,Maharashtra,Pune,410515,2,0,0
,Maharashtra,Pune,411001,3,2,0
,Maharashtra,Pune,411003,1,0,0
,Maharashtra,Pune,411006,1,1,0
,Maharashtra,Pune,411036,1,0,0
,Maharashtra,Pune,411052,1,0,0
,Maharashtra,Pune,411057,4,2,0
,Maharashtra,Pune,411061,2,0,0
,Maharashtra,Pune,412105,7,0,0
,Maharashtra,Pune,412115,1,0,0
,Maharashtra,Pune,412210,1,0,0
,Maharashtra,Pune,412301,1,0,0
,Maharashtra,Pune,412303,1,0,0
,Maharashtra,Pune,412409,0,1,0
,Maharashtra,Pune,413103,1,0,0
,Maharashtra,Pune,412216,1,1,0
,Maharashtra,Pune,410501,1,0,0
,Maharashtra,Pune,410512,1,0,0
,Maharashtra,Pune,411013,0,1,0
,Maharashtra,Pune,411014,2,0,0
,Maharashtra,Pune,411040,0,1,0
,Maharashtra,Pune,411041,0,1,0
,Maharashtra,Pune,412205,1,1,0
,Maharashtra,Pune,412308,1,0,0
,Maharashtra,Pune,412307,1,0,0
,Maharashtra,Pune,410501,2,1,0
,Maharashtra,Pune,411016,1,0,0
,Maharashtra,Pune,411019,1,0,0
,Maharashtra,Pune,411028,1,3,0
,Maharashtra,Pune,411032,1,1,0
,Maharashtra,Pune,411035,1,0,0
,Maharashtra,Pune,411039,0,1,0
,Maharashtra,Pune,411040,1,0,0
,Maharashtra,Pune,411041,2,3,0
,Maharashtra,Pune,411048,3,2,0
,Maharashtra,Pune,412109,0,1,0
,Maharashtra,Pune,412205,1,0,0
,Maharashtra,Pune,412214,1,0,0
,Maharashtra,Pune,412301,1,1,0
,Maharashtra,Pune,412305,1,0,0
,Maharashtra,Pune,413102,2,0,3
,Maharashtra,Pune,413103,1,0,0
,Maharashtra,Pune,413104,0,0,1
,Maharashtra,Pune,413132,1,0,0
,Maharashtra,Pune,410502,6,1,0
,Maharashtra,Pune,410505,3,1,0
,Maharashtra,Pune,411002,2,0,0
,Maharashtra,Pune,411005,1,0,0
,Maharashtra,Pune,411013,1,0,0
,Maharashtra,Pune,411014,10,5,1
,Maharashtra,Pune,411025,2,0,0
,Maharashtra,Pune,411032,4,0,0
,Maharashtra,Pune,411035,1,0,0
,Maharashtra,Pune,411036,5,1,0
,Maharashtra,Pune,412103,1,0,0
,Maharashtra,Pune,412107,1,0,0
,Maharashtra,Pune,412110,1,0,0
,Maharashtra,Pune,412114,2,1,0
,Maharashtra,Pune,412303,2,0,0
,Maharashtra,Pune,412404,0,1,0
,Maharashtra,Pune,412410,1,0,0
,Maharashtra,Pune,413103,4,2,0
,Maharashtra,Pune,413110,3,0,0
,Maharashtra,Pune,410502,2,0,0
,Maharashtra,Pune,410508,1,0,0
,Maharashtra,Pune,410509,1,0,0
,Maharashtra,Pune,411005,2,0,0
,Maharashtra,Pune,411007,1,0,0
,Maharashtra,Pune,411018,2,0,0
,Maharashtra,Pune,411021,1,2,0
,Maharashtra,Pune,411028,5,2,0
,Maharashtra,Pune,411030,1,0,0
,Maharashtra,Pune,411038,2,0,1
,Maharashtra,Pune,411045,2,0,0
,Maharashtra,Pune,411046,4,5,0
,Maharashtra,Pune,411061,1,0,0
,Maharashtra,Pune,412105,5,3,1
,Maharashtra,Pune,412202,2,0,0
,Maharashtra,Pune,412208,1,1,1
,Maharashtra,Pune,412209,1,0,1
,Maharashtra,Pune,412212,1,0,0
,Maharashtra,Pune,412213,1,0,0
,Maharashtra,Pune,412307,1,0,0
,Maharashtra,Pune,413102,1,0,0
,Maharashtra,Pune,413114,2,0,0
,Maharashtra,Pune,413130,2,0,0
,Maharashtra,Pune,410507,1,0,0
,Maharashtra,Pune,410513,1,0,0
,Maharashtra,Pune,411014,9,3,0
,Maharashtra,Pune,411016,1,2,0
,Maharashtra,Pune,411019,5,0,0
,Maharashtra,Pune,411020,0,1,0
,Maharashtra,Pune,411032,1,0,0
,Maharashtra,Pune,411037,11,1,0
,Maharashtra,Pune,411042,9,0,0
,Maharashtra,Pune,411060,3,0,0
,Maharashtra,Pune,412103,1,0,0
,Maharashtra,Pune,412203,1,0,0
,Maharashtra,Pune,412213,0,2,0
,Maharashtra,Pune,412406,2,0,0
,Maharashtra,Pune,412409,2,0,0
,Maharashtra,Pune,413106,2,0,0
,Maharashtra,Pune,413110,1,0,0
,Maharashtra,Pune,413130,4,0,0
,Maharashtra,Pune,410401,2,0,0
,Maharashtra,Pune,410506,5,1,0
,Maharashtra,Pune,410515,1,0,0
,Maharashtra,Pune,411001,5,1,0
,Maharashtra,Pune,411017,6,0,0
,Maharashtra,Pune,411018,4,0,0
,Maharashtra,Pune,411023,5,0,0
,Maharashtra,Pune,411027,2,3,0
,Maharashtra,Pune,411031,2,0,0
,Maharashtra,Pune,411046,5,1,0
,Maharashtra,Pune,411052,1,0,0
,Maharashtra,Pune,412101,3,0,0
,Maharashtra,Pune,412102,1,0,0
,Maharashtra,Pune,412105,10,2,0
,Maharashtra,Pune,412110,4,0,0
,Maharashtra,Pune,412201,1,0,0
,Maharashtra,Pune,412207,6,2,1
,Maharashtra,Pune,412213,1,1,0
,Maharashtra,Pune,412306,2,0,0
,Maharashtra,Pune,412402,1,0,0
,Maharashtra,Pune,412412,2,0,0
,Maharashtra,Pune,413102,8,0,0
,Maharashtra,Pune,413106,2,0,0
,Maharashtra,Pune,413110,3,0,0
,Maharashtra,Pune,413120,2,0,0
,Maharashtra,Pune,413132,3,0,0
,Maharashtra,Pune,410405,1,1,0
,Maharashtra,Pune,410504,3,0,0
,Maharashtra,Pune,410511,0,1,0
,Maharashtra,Pune,411007,1,0,0
,Maharashtra,Pune,411009,6,0,0
,Maharashtra,Pune,411014,13,3,0
,Maharashtra,Pune,411018,1,2,0
,Maharashtra,Pune,411020,3,0,0
